Subject,Country,Year,Unit,Power,Value
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Spain,2012,Percentage points,Units,-26.049564
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Spain,2013,Percentage points,Units,-24.161180
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Spain,2014,Percentage points,Units,-24.481441
Levels of GDP per capita and labour productivity - Percentage gap with respect to US GDP per hour worked,Spain,2015,Percentage points,Units,-25.319690
Mean scores on the reading scale in PISA 2012: women,Spain,2012,Average score,Units,502.510820
Teachersâ€™salary after 10 years of experience,Spain,2013,US Dollar,Units,39467.808000
 Medical graduates,Spain,2011,Per 100 000 inhabitants,Units,8.980000
 Medical graduates,Spain,2012,Per 100 000 inhabitants,Units,9.530000
 Medical graduates,Spain,2013,Per 100 000 inhabitants,Units,10.230000
 Medical graduates,Spain,2014,Per 100 000 inhabitants,Units,11.990000
 Medical graduates,Spain,2015,Per 100 000 inhabitants,Units,13.030000
 Nursing graduates,Spain,2011,Per 100 000 inhabitants,Units,24.930000
 Nursing graduates,Spain,2012,Per 100 000 inhabitants,Units,17.520000
 Nursing graduates,Spain,2013,Per 100 000 inhabitants,Units,18.840000
 Nursing graduates,Spain,2014,Per 100 000 inhabitants,Units,25.170000
 Nursing graduates,Spain,2015,Per 100 000 inhabitants,Units,23.180000
Annual expenditure per student in all tertiary education,Spain,2012,US Dollar,Units,12355.747000
Elderly dependency rate in urban regions,Spain,2014,Percentage,Units,25.700000
Elderly dependency rate,Spain,2014,Percentage,Units,27.200000
Elderly dependency rate in rural regions,Spain,2014,Percentage,Units,31.300000
Population aged 25-34 in upper secondary or post-secondary non-tertiary,Spain,2014,Percentage,Units,41.477402
Population aged 25-64 below upper secondary,Spain,2014,Percentage,Units,43.382374
Annual expenditure per student in all tertiary education excluding R&D activities,Spain,2012,US Dollar,Units,8983.499800
Teachersâ€™salary after 15 years of experience,Spain,2013,US Dollar,Units,42186.730000
Standard error on the reading scale in PISA 2012: women,Spain,2012,Standard-error,Units,1.920369
Mean scores on the science scale in PISA 2012: men,Spain,2012,Average score,Units,500.119300
Teachersâ€™salary at top of scale,Spain,2013,US Dollar,Units,51265.329000
Change in expenditure in tertiary education,Spain,2012,Index,Units,116.863080
Population aged 25-64 below upper secondary,Spain,2014,Percentage,Units,21.938850
Population aged 25-64 in upper secondary or post-secondary non-tertiary,Spain,2014,Percentage,Units,34.678776
Change in the number of students in tertiary education,Spain,2012,Index,Units,117.478430
Standard error on the science scale in PISA 2012: men,Spain,2012,Standard-error,Units,2.269009
Mean scores on the science scale in PISA 2012: women,Spain,2012,Average score,Units,492.658320
Permanent inflows by category of entry: total,Spain,2011,Persons,Thousands,273230.960000
Permanent inflows by category of entry: total,Spain,2012,Persons,Thousands,196326.770000
Permanent inflows by category of entry: total,Spain,2013,Persons,Thousands,180395.880000
Permanent inflows by category of entry: total,Spain,2014,Persons,Thousands,183564.980000
Permanent inflows by category of entry: total,Spain,2015,Persons,Thousands,194886.890000
Public expenditure per student in primary; secondary and post-secondary non-tertiary education as a percentage of total expenditures,Spain,2012,Percentage,Units,88.677142
Standard error on the science scale in PISA 2012: women,Spain,2012,Standard-error,Units,1.914525
Mean scores on the mathematics scale in PISA 2012: men,Spain,2012,Average score,Units,492.422390
Standard error on the mathematics scale in PISA 2012: men,Spain,2012,Standard-error,Units,2.421659
Population levels,Spain,2011,Inhabitants,Thousands,46736.260000
Population levels,Spain,2012,Inhabitants,Thousands,46766.400000
Population levels,Spain,2013,Inhabitants,Thousands,46593.230000
Population levels,Spain,2014,Inhabitants,Thousands,46464.050000
Standard error on the mathematics scale in PISA 2012: women,Spain,2012,Average score,Units,1.970453
Foreign-born population,Spain,2011,Percentage,Units,14.417000
Foreign-born population,Spain,2012,Percentage,Units,14.152000
Foreign-born population,Spain,2013,Percentage,Units,13.439000
Foreign population,Spain,2011,Percentage,Units,12.274000
Foreign population,Spain,2012,Percentage,Units,11.859000
Foreign population,Spain,2013,Percentage,Units,10.728000
Foreign-born nationals,Spain,2011,Percentage,Units,22.139110
Permanent inflows by category of entry: accompanying family of workers,Spain,2011,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,Spain,2012,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,Spain,2013,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,Spain,2014,Persons,Thousands,0.000000
Permanent inflows by category of entry: accompanying family of workers,Spain,2015,Persons,Thousands,0.000000
Permanent inflows by category of entry: humanitarian,Spain,2011,Persons,Thousands,967.000000
Permanent inflows by category of entry: humanitarian,Spain,2012,Persons,Thousands,520.000000
Permanent inflows by category of entry: humanitarian,Spain,2013,Persons,Thousands,528.000000
Permanent inflows by category of entry: humanitarian,Spain,2014,Persons,Thousands,1583.000000
Permanent inflows by category of entry: humanitarian,Spain,2015,Persons,Thousands,1020.000000
Permanent inflows by category of entry: family,Spain,2011,Persons,Thousands,58784.393000
Permanent inflows by category of entry: family,Spain,2012,Persons,Thousands,39847.220000
Permanent inflows by category of entry: family,Spain,2013,Persons,Thousands,41249.444000
Permanent inflows by category of entry: family,Spain,2014,Persons,Thousands,38927.474000
Permanent inflows by category of entry: family,Spain,2015,Persons,Thousands,39478.104000
Permanent inflows by category of entry: free movements,Spain,2011,Persons,Thousands,131109.570000
Permanent inflows by category of entry: free movements,Spain,2012,Persons,Thousands,102573.550000
Permanent inflows by category of entry: free movements,Spain,2013,Persons,Thousands,92507.438000
Permanent inflows by category of entry: free movements,Spain,2014,Persons,Thousands,102107.510000
Permanent inflows by category of entry: free movements,Spain,2015,Persons,Thousands,108125.790000
Permanent inflows by category of entry: work,Spain,2011,Persons,Thousands,75891.000000
Permanent inflows by category of entry: work,Spain,2012,Persons,Thousands,47464.000000
Permanent inflows by category of entry: work,Spain,2013,Persons,Thousands,37350.000000
Permanent inflows by category of entry: work,Spain,2014,Persons,Thousands,31616.000000
Permanent inflows by category of entry: work,Spain,2015,Persons,Thousands,33568.000000
Permanent inflows by category of entry: Other,Spain,2011,Persons,Thousands,6479.000000
Permanent inflows by category of entry: Other,Spain,2012,Persons,Thousands,5922.000000
Permanent inflows by category of entry: Other,Spain,2013,Persons,Thousands,8761.000000
Permanent inflows by category of entry: Other,Spain,2014,Persons,Thousands,9331.000000
Permanent inflows by category of entry: Other,Spain,2015,Persons,Thousands,12695.000000
Employment rates of native-born population by educational attainment: low,Spain,2011,Percentage,Units,51.600000
Employment rates of native-born population by educational attainment: low,Spain,2012,Percentage,Units,49.400000
Employment rates of native-born population by educational attainment: low,Spain,2013,Percentage,Units,47.400000
Employment rates of native-born population by educational attainment: low,Spain,2014,Percentage,Units,49.300000
Employment rates of native-born population by educational attainment: low,Spain,2015,Percentage,Units,51.400000
Employment rates of native-born population by educational attainment: High,Spain,2011,Percentage,Units,80.100000
Employment rates of native-born population by educational attainment: High,Spain,2012,Percentage,Units,78.500000
Employment rates of native-born population by educational attainment: High,Spain,2013,Percentage,Units,77.500000
Employment rates of native-born population by educational attainment: High,Spain,2014,Percentage,Units,78.700000
Employment rates of native-born population by educational attainment: High,Spain,2015,Percentage,Units,80.000000
Employment rates of native-born population by educational attainment: Total,Spain,2011,Percentage,Units,64.600000
Employment rates of native-born population by educational attainment: Total,Spain,2012,Percentage,Units,62.900000
Employment rates of native-born population by educational attainment: Total,Spain,2013,Percentage,Units,62.000000
Employment rates of native-born population by educational attainment: Total,Spain,2014,Percentage,Units,63.500000
Employment rates of native-born population by educational attainment: Total,Spain,2015,Percentage,Units,65.400000
Employment rates of foreign-born population by educational attainment: low,Spain,2011,Percentage,Units,52.700000
Employment rates of foreign-born population by educational attainment: low,Spain,2012,Percentage,Units,46.300000
Employment rates of foreign-born population by educational attainment: low,Spain,2013,Percentage,Units,51.900000
Employment rates of foreign-born population by educational attainment: low,Spain,2014,Percentage,Units,49.800000
Employment rates of foreign-born population by educational attainment: low,Spain,2015,Percentage,Units,52.500000
Employment rates of foreign-born population by educational attainment: High,Spain,2011,Percentage,Units,68.100000
Employment rates of foreign-born population by educational attainment: High,Spain,2012,Percentage,Units,66.000000
Employment rates of foreign-born population by educational attainment: High,Spain,2013,Percentage,Units,67.000000
Employment rates of foreign-born population by educational attainment: High,Spain,2014,Percentage,Units,66.800000
Employment rates of foreign-born population by educational attainment: High,Spain,2015,Percentage,Units,68.100000
Employment rates of foreign-born population by educational attainment: Total,Spain,2011,Percentage,Units,60.200000
Employment rates of foreign-born population by educational attainment: Total,Spain,2012,Percentage,Units,55.800000
Employment rates of foreign-born population by educational attainment: Total,Spain,2013,Percentage,Units,57.400000
Employment rates of foreign-born population by educational attainment: Total,Spain,2014,Percentage,Units,57.900000
Employment rates of foreign-born population by educational attainment: Total,Spain,2015,Percentage,Units,60.300000
Unemployment rates of native-born populations: Men,Spain,2012,Percentage,Units,22.388000
Unemployment rates of native-born populations: Men,Spain,2014,Percentage,Units,21.800000
Unemployment rates of foreign-born populations: Men,Spain,2012,Percentage,Units,36.485000
Unemployment rates of foreign-born populations: Men,Spain,2014,Percentage,Units,34.000000
Unemployment rates of native-born populations: Women,Spain,2012,Percentage,Units,23.763000
Unemployment rates of native-born populations: Women,Spain,2014,Percentage,Units,24.100000
Unemployment rates of foreign-born populations: Women,Spain,2012,Percentage,Units,32.755000
Unemployment rates of foreign-born populations: Women,Spain,2014,Percentage,Units,32.600000
Unemployment rates of native-born populations: Total,Spain,2012,Percentage,Units,22.927000
Unemployment rates of native-born populations: Total,Spain,2014,Percentage,Units,22.800000
Unemployment rates of foreign-born populations: Total,Spain,2012,Percentage,Units,35.425000
Unemployment rates of foreign-born populations: Total,Spain,2014,Percentage,Units,33.300000
Real GDP growth,Spain,2011,Growth rate,Units,-0.998765
Real GDP growth,Spain,2012,Growth rate,Units,-2.927751
Real GDP growth,Spain,2013,Growth rate,Units,-1.705705
Real GDP growth,Spain,2014,Growth rate,Units,1.379997
Real GDP growth,Spain,2015,Growth rate,Units,3.644680
Gross fixed capital formation,Spain,2011,Growth rate,Units,-6.937712
Gross fixed capital formation,Spain,2012,Growth rate,Units,-8.609357
Gross fixed capital formation,Spain,2013,Growth rate,Units,-3.446289
Gross fixed capital formation,Spain,2014,Growth rate,Units,4.688310
Gross fixed capital formation,Spain,2015,Growth rate,Units,6.669407
Value added in agriculture; hunting and forestry; fishing,Spain,2011,Percentage,Units,2.479592
Value added in agriculture; hunting and forestry; fishing,Spain,2012,Percentage,Units,2.517752
Value added in agriculture; hunting and forestry; fishing,Spain,2013,Percentage,Units,2.752091
Value added in agriculture; hunting and forestry; fishing,Spain,2014,Percentage,Units,2.674516
Value added in agriculture; hunting and forestry; fishing,Spain,2015,Percentage,Units,2.868423
Value added in industry; including energy,Spain,2011,Percentage,Units,17.450059
Value added in industry; including energy,Spain,2012,Percentage,Units,17.355391
Value added in industry; including energy,Spain,2013,Percentage,Units,17.522573
Value added in industry; including energy,Spain,2014,Percentage,Units,17.560537
Value added in industry; including energy,Spain,2015,Percentage,Units,17.575169
Value added in construction,Spain,2011,Percentage,Units,7.520815
Value added in construction,Spain,2012,Percentage,Units,6.658484
Value added in construction,Spain,2013,Percentage,Units,5.766041
Value added in construction,Spain,2014,Percentage,Units,5.625165
Value added in construction,Spain,2015,Percentage,Units,5.696683
Value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2011,Percentage,Units,22.913782
Value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2012,Percentage,Units,23.272878
Value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2013,Percentage,Units,23.146569
Value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2014,Percentage,Units,23.269664
Value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2015,Percentage,Units,23.541476
Value added in Information and communication,Spain,2011,Percentage,Units,4.343530
Value added in Information and communication,Spain,2012,Percentage,Units,4.399645
Value added in Information and communication,Spain,2013,Percentage,Units,4.412601
Value added in Information and communication,Spain,2014,Percentage,Units,4.349529
Value added in Information and communication,Spain,2015,Percentage,Units,4.280259
Value added in financial and insurance activities,Spain,2011,Percentage,Units,4.157390
Value added in financial and insurance activities,Spain,2012,Percentage,Units,4.179307
Value added in financial and insurance activities,Spain,2013,Percentage,Units,3.760410
Value added in financial and insurance activities,Spain,2014,Percentage,Units,4.006586
Value added in financial and insurance activities,Spain,2015,Percentage,Units,3.973427
Value added in real estate activities,Spain,2011,Percentage,Units,10.859231
Value added in real estate activities,Spain,2012,Percentage,Units,11.600380
Value added in real estate activities,Spain,2013,Percentage,Units,12.102080
Value added in real estate activities,Spain,2014,Percentage,Units,11.925101
Value added in real estate activities,Spain,2015,Percentage,Units,11.289796
Real value added in agriculture; hunting and forestry; fishing,Spain,2011,Growth rate,Units,4.435117
Real value added in agriculture; hunting and forestry; fishing,Spain,2012,Growth rate,Units,-9.676563
Real value added in agriculture; hunting and forestry; fishing,Spain,2013,Growth rate,Units,13.559464
Real value added in agriculture; hunting and forestry; fishing,Spain,2014,Growth rate,Units,-1.197738
Real value added in agriculture; hunting and forestry; fishing,Spain,2015,Growth rate,Units,3.584390
Real value added in industry; including energy,Spain,2011,Growth rate,Units,-0.215910
Real value added in industry; including energy,Spain,2012,Growth rate,Units,-4.864071
Real value added in industry; including energy,Spain,2013,Growth rate,Units,-3.931557
Real value added in industry; including energy,Spain,2014,Growth rate,Units,1.976557
Real value added in industry; including energy,Spain,2015,Growth rate,Units,2.860559
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2011,Growth rate,Units,-0.139746
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2012,Growth rate,Units,-1.851194
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2013,Growth rate,Units,-1.672466
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2014,Growth rate,Units,1.706509
Real value added in distributive trade; repairs; transport; accommodation and food services activities,Spain,2015,Growth rate,Units,5.207832
Real value added in Information and communication,Spain,2011,Growth rate,Units,-0.165784
Real value added in Information and communication,Spain,2012,Growth rate,Units,1.563725
Real value added in Information and communication,Spain,2013,Growth rate,Units,3.290490
Real value added in Information and communication,Spain,2014,Growth rate,Units,7.409036
Real value added in Information and communication,Spain,2015,Growth rate,Units,6.011667
Real value added in financial and insurance activities,Spain,2011,Growth rate,Units,-2.376184
Real value added in financial and insurance activities,Spain,2012,Growth rate,Units,-5.809941
Real value added in financial and insurance activities,Spain,2013,Growth rate,Units,-7.089109
Real value added in financial and insurance activities,Spain,2014,Growth rate,Units,-3.529945
Real value added in financial and insurance activities,Spain,2015,Growth rate,Units,-5.418243
Real value added in real estate activities,Spain,2011,Growth rate,Units,2.840112
Real value added in real estate activities,Spain,2012,Growth rate,Units,2.362037
Real value added in real estate activities,Spain,2013,Growth rate,Units,1.325342
Real value added in real estate activities,Spain,2014,Growth rate,Units,0.548579
Real value added in real estate activities,Spain,2015,Growth rate,Units,0.235678
Number of employees in manufacturing in enterprises with 20-49 persons engaged,Spain,2012,Percentage,Units,16.343598
Number of employees in manufacturing in enterprises with 50-249 persons engaged,Spain,2012,Percentage,Units,23.664254
Number of employees in manufacturing in enterprises with 250 or more persons engaged,Spain,2012,Percentage,Units,28.855061
Number of enterprises in manufacturing with less than 10 persons engaged,Spain,2012,Percentage,Units,83.397473
Number of enterprises in manufacturing with 10-19 persons engaged,Spain,2012,Percentage,Units,8.182743
Number of enterprises in manufacturing with 250 or more persons engaged,Spain,2012,Percentage,Units,0.428606
Gross national income per capita,Spain,2011,US Dollar,Units,31516.625000
Gross national income per capita,Spain,2012,US Dollar,Units,31767.430000
Gross national income per capita,Spain,2013,US Dollar,Units,32453.232000
Gross national income per capita,Spain,2014,US Dollar,Units,33616.955000
Gross national income per capita,Spain,2015,US Dollar,Units,34959.397000
Real household disposable income,Spain,2011,Growth rate,Units,-1.296923
Real household disposable income,Spain,2012,Growth rate,Units,-5.593138
Real household disposable income,Spain,2013,Growth rate,Units,-1.608137
Real household disposable income,Spain,2014,Growth rate,Units,1.015587
Real household disposable income,Spain,2015,Growth rate,Units,2.429146
Household net saving rates,Spain,2011,Percentage,Units,4.648293
Household net saving rates,Spain,2012,Percentage,Units,2.347435
Household net saving rates,Spain,2013,Percentage,Units,3.837768
Household net saving rates,Spain,2014,Percentage,Units,3.488604
Household net saving rates,Spain,2015,Percentage,Units,2.867525
Income inequality: Gini (at disposable income; post taxes and transfers),Spain,2011,0-1 scale,Units,0.341000
Income inequality: Gini (at disposable income; post taxes and transfers),Spain,2012,0-1 scale,Units,0.334000
Income inequality: Gini (at disposable income; post taxes and transfers),Spain,2013,0-1 scale,Units,0.345000
Income inequality: Gini (at disposable income; post taxes and transfers),Spain,2014,0-1 scale,Units,0.344000
Income inequality: Gini (at disposable income; post taxes and transfers),Spain,2015,0-1 scale,Units,0.345000
Income inequality: Palma (S90/S40 disposable income decile share),Spain,2012,S90/S40 decile share,Units,1.290000
Income inequality: S80/S20 disposable income quintile share,Spain,2011,S80/S20 quintile share,Units,6.300000
Income inequality: S80/S20 disposable income quintile share,Spain,2012,S80/S20 quintile share,Units,6.100000
Income inequality: S80/S20 disposable income quintile share,Spain,2013,S80/S20 quintile share,Units,6.600000
Income inequality: S80/S20 disposable income quintile share,Spain,2014,S80/S20 quintile share,Units,6.600000
Income inequality: S80/S20 disposable income quintile share,Spain,2015,S80/S20 quintile share,Units,6.500000
Income inequality: P90/P10 disposable income decile ratio,Spain,2011,Interdecile ratio P90/P10,Units,5.100000
Income inequality: P90/P10 disposable income decile ratio,Spain,2012,Interdecile ratio P90/P10,Units,4.900000
Income inequality: P90/P10 disposable income decile ratio,Spain,2013,Interdecile ratio P90/P10,Units,5.400000
Income inequality: P90/P10 disposable income decile ratio,Spain,2014,Interdecile ratio P90/P10,Units,5.500000
Income inequality: P90/P10 disposable income decile ratio,Spain,2015,Interdecile ratio P90/P10,Units,5.300000
Income inequality: P90/P50 disposable income decile ratio ,Spain,2011,Interdecile ratio P90/P50,Units,2.100000
Income inequality: P90/P50 disposable income decile ratio ,Spain,2012,Interdecile ratio P90/P50,Units,2.000000
Income inequality: P90/P50 disposable income decile ratio ,Spain,2013,Interdecile ratio P90/P50,Units,2.100000
Income inequality: P90/P50 disposable income decile ratio ,Spain,2014,Interdecile ratio P90/P50,Units,2.100000
Income inequality: P90/P50 disposable income decile ratio ,Spain,2015,Interdecile ratio P90/P50,Units,2.100000
Financial asset of households: Currency and deposits,Spain,2011,Percentage,Units,46.218870
Financial asset of households: Currency and deposits,Spain,2012,Percentage,Units,46.545900
Financial asset of households: Currency and deposits,Spain,2013,Percentage,Units,44.026320
Financial asset of households: Currency and deposits,Spain,2014,Percentage,Units,42.033530
Financial asset of households: Currency and deposits,Spain,2015,Percentage,Units,40.385200
Financial asset of households: Debt securities,Spain,2011,Percentage,Units,4.767228
Financial asset of households: Debt securities,Spain,2012,Percentage,Units,4.042696
Financial asset of households: Debt securities,Spain,2013,Percentage,Units,2.539493
Financial asset of households: Debt securities,Spain,2014,Percentage,Units,1.719077
Financial asset of households: Debt securities,Spain,2015,Percentage,Units,1.676798
Financial asset of households: equity,Spain,2011,Percentage,Units,24.195470
Financial asset of households: equity,Spain,2012,Percentage,Units,24.306370
Financial asset of households: equity,Spain,2013,Percentage,Units,26.656750
Financial asset of households: equity,Spain,2014,Percentage,Units,26.613390
Financial asset of households: equity,Spain,2015,Percentage,Units,27.398400
Financial asset of households:  investment funds shares,Spain,2011,Percentage,Units,6.684581
Financial asset of households:  investment funds shares,Spain,2012,Percentage,Units,6.526022
Financial asset of households:  investment funds shares,Spain,2013,Percentage,Units,9.203054
Financial asset of households:  investment funds shares,Spain,2014,Percentage,Units,11.230040
Financial asset of households:  investment funds shares,Spain,2015,Percentage,Units,12.577320
Financial asset of households: Life insurance and annuities,Spain,2011,Percentage,Units,6.492725
Financial asset of households: Life insurance and annuities,Spain,2012,Percentage,Units,6.804493
Financial asset of households: Life insurance and annuities,Spain,2013,Percentage,Units,6.761405
Financial asset of households: Life insurance and annuities,Spain,2014,Percentage,Units,7.464557
Financial asset of households: Life insurance and annuities,Spain,2015,Percentage,Units,7.249746
Financial asset of households: Pension funds,Spain,2011,Percentage,Units,7.652749
Financial asset of households: Pension funds,Spain,2012,Percentage,Units,7.945216
Financial asset of households: Pension funds,Spain,2013,Percentage,Units,7.792588
Financial asset of households: Pension funds,Spain,2014,Percentage,Units,7.999133
Financial asset of households: Pension funds,Spain,2015,Percentage,Units,7.859027
Households debt,Spain,2011,Percentage,Units,142.823100
Households debt,Spain,2012,Percentage,Units,141.513900
Households debt,Spain,2013,Percentage,Units,134.895000
Households debt,Spain,2014,Percentage,Units,127.984000
Households debt,Spain,2015,Percentage,Units,121.726100
International imports in goods and services,Spain,2011,Percentage,Units,29.165985
International imports in goods and services,Spain,2012,Percentage,Units,29.231161
International imports in goods and services,Spain,2013,Percentage,Units,28.962077
International imports in goods and services,Spain,2014,Percentage,Units,30.283479
International imports in goods and services,Spain,2015,Percentage,Units,30.601990
International exports in goods and services,Spain,2011,Percentage,Units,28.920107
International exports in goods and services,Spain,2012,Percentage,Units,30.699980
International exports in goods and services,Spain,2013,Percentage,Units,32.217535
International exports in goods and services,Spain,2014,Percentage,Units,32.712995
International exports in goods and services,Spain,2015,Percentage,Units,32.935306
Imports of goods,Spain,2014,US Dollar,Billions,350.977770
Trade balance of goods,Spain,2014,US Dollar,Billions,-32.328461
Exports of goods,Spain,2014,US Dollar,Billions,318.649310
Trade balance of services,Spain,2011,US Dollar,Billions,59.219190
Trade balance of services,Spain,2012,US Dollar,Billions,58.160200
Trade balance of services,Spain,2013,US Dollar,Billions,63.433090
Trade balance of services,Spain,2014,US Dollar,Billions,63.544260
Trade balance of services,Spain,2015,US Dollar,Billions,52.708320
Imports of services,Spain,2011,US Dollar,Billions,71.380630
Imports of services,Spain,2012,US Dollar,Billions,64.388950
Imports of services,Spain,2013,US Dollar,Billions,62.993690
Imports of services,Spain,2014,US Dollar,Billions,69.707230
Imports of services,Spain,2015,US Dollar,Billions,65.405620
Exports of services,Spain,2011,US Dollar,Billions,130.599800
Exports of services,Spain,2012,US Dollar,Billions,122.549100
Exports of services,Spain,2013,US Dollar,Billions,126.426800
Exports of services,Spain,2014,US Dollar,Billions,133.251500
Exports of services,Spain,2015,US Dollar,Billions,118.113900
Outflows of foreign direct investment,Spain,2013,US Dollar,Millions,11770.875000
Outflows of foreign direct investment,Spain,2014,US Dollar,Millions,31613.374000
Inflows of foreign direct investment,Spain,2013,US Dollar,Millions,27550.777000
Inflows of foreign direct investment,Spain,2014,US Dollar,Millions,20314.449000
Current account balance,Spain,2011,Percentage,Units,-3.179057
Current account balance,Spain,2012,Percentage,Units,-0.219523
Current account balance,Spain,2013,Percentage,Units,1.520583
Current account balance,Spain,2014,Percentage,Units,1.077954
Current account balance,Spain,2015,Percentage,Units,1.162451
Long-term interest rates,Spain,2011,Percentage,Units,5.436894
Long-term interest rates,Spain,2012,Percentage,Units,5.846537
Long-term interest rates,Spain,2013,Percentage,Units,4.561962
Long-term interest rates,Spain,2014,Percentage,Units,2.721831
Long-term interest rates,Spain,2015,Percentage,Units,1.735087
Real effective exchange rates,Spain,2011,Index,Units,105.441250
Real effective exchange rates,Spain,2012,Index,Units,103.217000
Real effective exchange rates,Spain,2013,Index,Units,104.646350
Real effective exchange rates,Spain,2014,Index,Units,104.426860
Real effective exchange rates,Spain,2015,Index,Units,100.000000
Total primary energy supply,Spain,2011,Tonnes of oil equivalent (toe),Millions,125.760000
Total primary energy supply,Spain,2012,Tonnes of oil equivalent (toe),Millions,125.550000
Total primary energy supply,Spain,2013,Tonnes of oil equivalent (toe),Millions,117.180000
Total primary energy supply,Spain,2014,Tonnes of oil equivalent (toe),Millions,114.580000
Total primary energy supply,Spain,2015,Tonnes of oil equivalent (toe),Millions,118.900000
Total primary energy supply per unit of GDP,Spain,2011,Tonnes of oil equivalent (toe),Units,0.085000
Total primary energy supply per unit of GDP,Spain,2012,Tonnes of oil equivalent (toe),Units,0.088000
Total primary energy supply per unit of GDP,Spain,2013,Tonnes of oil equivalent (toe),Units,0.083000
Total primary energy supply per unit of GDP,Spain,2014,Tonnes of oil equivalent (toe),Units,0.080000
Total primary energy supply per unit of GDP,Spain,2015,Tonnes of oil equivalent (toe),Units,0.081000
Electricity generation,Spain,2011,Terawatt hours,Units,291533.000000
Electricity generation,Spain,2012,Terawatt hours,Units,293942.000000
Electricity generation,Spain,2013,Terawatt hours,Units,281445.000000
Electricity generation,Spain,2014,Terawatt hours,Units,274949.000000
Electricity generation,Spain,2015,Terawatt hours,Units,277683.000000
Nuclear electricity generation; Terawatt hours,Spain,2014,Terawatt hours,Units,54.800000
Nuclear electricity generation; As a percentage of total electricity generation,Spain,2014,Percentage,Units,20.400000
Nuclear power plants connected to the grid,Spain,2014,Number,Units,8.000000
Nuclear power plants under construction,Spain,2014,Number,Units,0.000000
Contribution of renewables to energy supply,Spain,2011,Percentage,Units,0.117900
Contribution of renewables to energy supply,Spain,2012,Percentage,Units,0.128500
Contribution of renewables to energy supply,Spain,2013,Percentage,Units,0.151400
Contribution of renewables to energy supply,Spain,2014,Percentage,Units,0.155100
Contribution of renewables to energy supply,Spain,2015,Percentage,Units,0.139800
Production of crude oil,Spain,2011,Tonnes,Millions,101.904000
Production of crude oil,Spain,2012,Tonnes,Millions,144.703000
Production of crude oil,Spain,2013,Tonnes,Millions,375.005000
Production of crude oil,Spain,2014,Tonnes,Millions,310.806000
Production of crude oil,Spain,2015,Tonnes,Millions,236.416000
Crude oil import prices,Spain,2011,US Dollar,Units,108.500000
Crude oil import prices,Spain,2012,US Dollar,Units,109.480000
Crude oil import prices,Spain,2013,US Dollar,Units,106.770000
Crude oil import prices,Spain,2014,US Dollar,Units,97.070000
Inland goods transport,Spain,2011,Tonnes-kilometres,Billions,223.459000
Inland goods transport,Spain,2012,Tonnes-kilometres,Billions,215.582000
Inland goods transport,Spain,2013,Tonnes-kilometres,Billions,208.679000
Inland goods transport,Spain,2014,Tonnes-kilometres,Billions,212.333000
Inland passenger transport,Spain,2011,Passenger-kilometres,Billions,412.558000
Inland passenger transport,Spain,2012,Passenger-kilometres,Billions,398.052000
Inland passenger transport,Spain,2013,Passenger-kilometres,Billions,392.161000
Inland passenger transport,Spain,2014,Passenger-kilometres,Billions,384.270000
Road fatalities,Spain,2011,Per 1 000 000 inhabitants,Units,44.071056
Road fatalities,Spain,2012,Per 1 000 000 inhabitants,Units,40.685818
Road fatalities,Spain,2013,Per 1 000 000 inhabitants,Units,36.036001
Road fatalities,Spain,2014,Per 1 000 000 inhabitants,Units,36.375703
Employment rates for age group 15-24,Spain,2011,Percentage,Units,22.000000
Employment rates for age group 15-24,Spain,2012,Percentage,Units,18.400000
Employment rates for age group 15-24,Spain,2013,Percentage,Units,16.825000
Employment rates for age group 15-24,Spain,2014,Percentage,Units,16.700000
Employment rates for age group 15-24,Spain,2015,Percentage,Units,17.925000
Employment rates for age group 25-54,Spain,2011,Percentage,Units,69.050000
Employment rates for age group 25-54,Spain,2012,Percentage,Units,66.700000
Employment rates for age group 25-54,Spain,2013,Percentage,Units,65.825000
Employment rates for age group 25-54,Spain,2014,Percentage,Units,67.400000
Employment rates for age group 25-54,Spain,2015,Percentage,Units,69.425000
Employment rates for age group 55-64,Spain,2011,Percentage,Units,44.475000
Employment rates for age group 55-64,Spain,2012,Percentage,Units,43.875000
Employment rates for age group 55-64,Spain,2013,Percentage,Units,43.250000
Employment rates for age group 55-64,Spain,2014,Percentage,Units,44.300000
Employment rates for age group 55-64,Spain,2015,Percentage,Units,46.900000
Incidence of part-time employment,Spain,2011,Percentage,Units,12.658208
