"Provider_Number","HOSPITAL","ADDRESS","CITY","STATE",ZIP,"COUNTY","Readmit_2015","Readmit_2016","Readmit_2017","Readmit_2018","Readmit_2019","Readmit_2020"
"281303","NIOBRARA VALLEY HOSPITAL","P O BOX 118, 401 SOUTH 5TH STREET","LYNCH","NE",68746,"BOYD","*","*","*","*","*","*"
"281304","THAYER COUNTY HEALTH SERVICES","120 PARK AVE","HEBRON","NE",68370,"THAYER","*","*","*","*","*","*"
"281305","KIMBALL HEALTH SERVICES","505 SOUTH BURG ST","KIMBALL","NE",69145,"KIMBALL","*","*","*","*","*","*"
"281306","KEARNEY COUNTY HEALTH SERVICES HOSPITAL","727 EAST 1ST ST","MINDEN","NE",68959,"KEARNEY","*","*","*","*","*","*"
"281307","SAUNDERS MEDICAL CENTER","1760 COUNTY RD J","WAHOO","NE",68066,"SAUNDERS","*","*","*","*","*","*"
"281308","HENDERSON HEALTH CARE SERVICES","1621 FRONT STREET","HENDERSON","NE",68371,"YORK","*","*","*","*","*","*"
"281309","SYRACUSE AREA HEALTH","2731 HEALTHCARE DR","SYRACUSE","NE",68446,"OTOE","*","*","*","*","*","*"
"281310","REGIONAL WEST GARDEN COUNTY HOSPITAL","1100 WEST 2ND ST","OSHKOSH","NE",69154,"GARDEN","*","*","*","*","*","*"
"281311","FRANKLIN COUNTY MEMORIAL HOSPITAL","1406 Q ST","FRANKLIN","NE",68939,"FRANKLIN","*","*","*","*","*","*"
"281312","GENOA COMMUNITY HOSPITAL","P O BOX 310, 706 EWING AVE","GENOA","NE",68640,"PLATTE","*","*","*","*","*","*"
"281313","GOTHENBURG MEMORIAL HOSPITAL","910 20TH ST","GOTHENBURG","NE",69138,"DAWSON","*","*","*","*","*","*"
"281314","ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER","P O BOX 428, 531 BEEBE ST","OSCEOLA","NE",68651,"POLK","*","*","*","*","*","*"
"281315","BRODSTONE MEMORIAL HOSP","P O BOX 187, 520 EAST 10TH ST","SUPERIOR","NE",68978,"NUCKOLLS","*","*","*","*","*","*"
"281316","WEBSTER COUNTY COMMUNITY HOSPITAL","P O BOX 465, 621 N FRANKLIN ST","RED CLOUD","NE",68970,"WEBSTER","*","*","*","*","*","*"
"281318","MORRILL COUNTY COMMUNITY HOSPITAL","1313 S STREET","BRIDGEPORT","NE",69336,"MORRILL","*","*","*","*","*","*"
"281319","JEFFERSON COMMUNITY HEALTH & LIFE","P O BOX 277, 2200 H ST","FAIRBURY","NE",68352,"JEFFERSON","*","*","*","*","*","*"
"281320","MEMORIAL HOSPITAL","1423 SEVENTH ST","AURORA","NE",68818,"HAMILTON","*","*","*","*","*","*"
"281321","OAKLAND MERCY HOSPITAL","601 EAST SECOND ST","OAKLAND","NE",68045,"BURT","*","*","*","*","*","*"
"281322","ST FRANCIS MEMORIAL HOSPITAL","430 NORTH MONITOR ST","WEST POINT","NE",68788,"CUMING","*","*","*","*","*","*"
"281323","CHI HEALTH SCHUYLER","104 WEST 17TH ST","SCHUYLER","NE",68661,"COLFAX","*","*","*","*","*","*"
"281324","NEMAHA COUNTY HOSPITAL","2022  13TH ST","AUBURN","NE",68305,"NEMAHA","*","*","*","*","*","*"
"281325","BROWN COUNTY HOSPITAL","945 EAST ZERO ST","AINSWORTH","NE",69210,"BROWN","*","*","*","*","*","*"
"281326","ANTELOPE MEMORIAL HOSPITAL","P O BOX 229, 102 WEST 9TH ST","NELIGH","NE",68756,"ANTELOPE","*","*","*","*","*","*"
"281327","COZAD COMMUNITY HOSPITAL","P O BOX 108, 300 EAST 12TH ST","COZAD","NE",69130,"DAWSON","*","*","*","*","*","*"
"281328","MERRICK MEDICAL CENTER","1715  26TH ST","CENTRAL CITY","NE",68826,"MERRICK","*","*","*","*","*","*"
"281329","AVERA ST ANTHONY'S HOSPITAL","300 NORTH 2ND ST","O' NEILL","NE",68763,"HOLT","*","*","*","*","*","*"
"281330","WARREN MEMORIAL HOSPITAL","905 SECOND ST","FRIEND","NE",68359,"SALINE","*","*","*","*","*","*"
"281331","AVERA CREIGHTON HOSPITAL","P O BOX 186, 1503 MAIN ST","CREIGHTON","NE",68729,"KNOX","*","*","*","*","*","*"
"281332","BUTLER COUNTY HEALTH CARE CENTER","372 SOUTH 9TH ST","DAVID CITY","NE",68632,"BUTLER","*","*","*","*","*","*"
"281333","ROCK COUNTY HOSPITAL","102 EAST SOUTH STREET","BASSETT","NE",68714,"HOLT","*","*","*","*","*","*"
"281334","BOONE COUNTY HEALTH CENTER","P O BOX 151, 723 WEST FAIRVIEW ST","ALBION","NE",68620,"BOONE","*","*","*","*","*","*"
"281335","CALLAWAY DISTRICT HOSPITAL","P O BOX 100, 211 E KIMBALL","CALLAWAY","NE",68825,"CUSTER","*","*","*","*","*","*"
"281336","YORK GENERAL HOSPITAL","2222 LINCOLN AVE","YORK","NE",68467,"YORK","*","*","*","*","*","*"
"281338","HOWARD COUNTY MEDICAL CENTER","P O BOX 406, 1113 SHERMAN ST","ST PAUL","NE",68873,"HOWARD","*","*","*","*","*","*"
"281339","MEMORIAL HEALTH CARE SYSTEMS","300 NORTH COLUMBIA AVE","SEWARD","NE",68434,"SEWARD","*","*","*","*","*","*"
"281340","DUNDY COUNTY HOSPITAL","P O BOX 626, 1313 NORTH CHEYENNE ST","BENKELMAN","NE",69021,"DUNDY","*","*","*","*","*","*"
"281341","CHADRON COMMUNITY HOSPITAL CORP","825 CENTENNIAL DRIVE","CHADRON","NE",69337,"DAWES","*","*","*","*","*","*"
"281342","CHI HEALTH ST MARY'S","1301 GRUNDMAN BLVD","NEBRASKA CITY","NE",68410,"OTOE","*","*","*","*","*","*"
"281343","WEST HOLT MEMORIAL HOSPITAL","406 W NEELY ST","ATKINSON","NE",68713,"HOLT","*","*","*","*","*","*"
"281344","CHERRY COUNTY HOSPITAL","P O BOX 410, 510 NORTH GREEN ST","VALENTINE","NE",69201,"CHERRY","*","*","*","*","*","*"
"281345","PROVIDENCE MEDICAL CENTER","1200 PROVIDENCE RD","WAYNE","NE",68787,"WAYNE","*","*","*","*","*","*"
"281346","CHI HEALTH PLAINVIEW","P O BOX 489, 704 NORTH THIRD ST","PLAINVIEW","NE",68769,"PIERCE","*","*","*","*","*","*"
"281347","OSMOND GENERAL HOSPITAL","P O BOX 429, 402 NORTH MAPLE ST","OSMOND","NE",68765,"PIERCE","*","*","*","*","*","*"
"281348","TRI VALLEY HEALTH SYSTEM","1305 WEST HIGHWAY 6/34","CAMBRIDGE","NE",69022,"FURNAS","*","*","*","*","*","*"
"281349","PENDER COMMUNITY HOSPITAL","P O BOX 100, 100 HOSPITAL DRIVE","PENDER","NE",68047,"THURSTON","*","*","*","*","*","*"
"281350","JOHNSON COUNTY HOSPITAL","202 HIGH ST","TECUMSEH","NE",68450,"JOHNSON","*","*","*","*","*","*"
"281351","CHASE COUNTY COMMUNITY HOSPITAL","P O BOX 819, 600 W 12TH ST","IMPERIAL","NE",69033,"CHASE","*","*","*","*","*","*"
"281352","COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 3307 BARADA ST","FALLS CITY","NE",68355,"RICHARDSON","*","*","*","*","*","*"
"281353","VALLEY COUNTY HEALTH SYSTEM","2707 L STREET","ORD","NE",68862,"VALLEY","*","*","*","*","*","*"
"281354","CRETE AREA MEDICAL CENTER","P O BOX 220, 2910 BETTEN DR","CRETE","NE",68333,"SALINE","*","*","*","*","*","*"
"281355","OGALLALA COMMUNITY HOSPITAL","2601 NORTH SPRUCE ST","OGALLALA","NE",69153,"KEITH","*","*","*","*","*","*"
"281356","PERKINS COUNTY HEALTH SERVICES","900 LINCOLN AVE","GRANT","NE",69140,"PERKINS","*","*","*","*","*","*"
"281357","SIDNEY REGIONAL MEDICAL CENTER","1000 POLE CREEK CROSSING","SIDNEY","NE",69162,"CHEYENNE","*","*","*","*","*","*"
"281358","GORDON MEMORIAL HOSPITAL DISTRICT","300 EAST 8TH ST","GORDON","NE",69343,"SHERIDAN","*","*","*","*","*","*"
"281359","MEMORIAL COMMUNITY HOSPITAL MCH & HEALTH SYSTEM","810 NORTH 22ND ST","BLAIR","NE",68008,"WASHINGTON","*","*","*","*","*","*"
"281360","BOX BUTTE GENERAL HOSPITAL","P O BOX 810, 2101 BOX BUTTE AVE","ALLIANCE","NE",69301,"BOX BUTTE","*","*","*","*","*","*"
"281361","LEXINGTON REGIONAL HEALTH CENTER","P O BOX 980, 1201 NORTH ERIE ST","LEXINGTON","NE",68850,"DAWSON","*","*","*","*","*","*"
"281362","PHELPS MEMORIAL HEALTH CENTER","1215 TIBBALS ST","HOLDREGE","NE",68949,"PHELPS","*","*","*","*","*","*"
"281363","COMMUNITY HOSPITAL","P O BOX 1328, 1301 EAST H ST","MCCOOK","NE",69001,"RED WILLOW","*","*","*","*","*","*"
"281364","BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY","BEATRICE","NE",68310,"GAGE","*","*","*","*","*","*"
"281365","JENNIE M MELHAM MEMORIAL MEDICAL CENTER","145 MEMORIAL DRIVE","BROKEN BOW","NE",68822,"CUSTER","*","*","*","*","*","*"
"283300","BOYS TOWN NATIONAL RESEARCH HOSPITAL","555 NORTH 30TH ST","OMAHA","NE",68131,"DOUGLAS","*","*","*","*","*","*"
"283301","CHILDREN'S HOSPITAL & MEDICAL CENTER","8200 DODGE ST","OMAHA","NE",68114,"DOUGLAS","*","*","*","*","*","*"
"284003","LINCOLN REGIONAL CENTER","PO BOX 94949 FOLSOM AND PROSPECTOR","LINCOLN","NE",68509,"LANCASTER","*","*","*","*","*","*"
"284009","DOUGLAS COUNTY HEALTH CENTER","4102 WOOLWORTH AVE","OMAHA","NE",68105,"DOUGLAS","*","*","*","*","*","*"
"290003","SUNRISE HOSPITAL AND MEDICAL CENTER","3186 S MARYLAND PKWY","LAS VEGAS","NV",89109,"CLARK","0.77","0.82","1.68","1.79","1.83","1.73"
"290005","NORTH VISTA HOSPITAL","1409 EAST LAKE MEAD BLVD","NORTH LAS VEGAS","NV",89030,"CLARK","0.63","0.49","0.68","1.26","1.19","1.22"
"290007","UNIVERSITY MEDICAL CENTER","1800 W CHARLESTON BLVD","LAS VEGAS","NV",89102,"CLARK","0.27","0.19","0.25","0.22","No Penalty","0.02"
"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","ELKO","NV",89801,"ELKO","0.43","0.34","0.66","1.52","2.14","1.38"
"290009","SAINT MARY'S REGIONAL MEDICAL CENTER","235 W 6TH ST","RENO","NV",89503,"WASHOE","0.05","0.40","1.11","1.16","0.89","1.11"
"290012","ST ROSE DOMINICAN HOSPITALS - ROSE DE LIMA CAMPUS","102 E LAKE MEAD DR","HENDERSON","NV",89015,"CLARK","0.59","0.40","0.46","0.34","0.27","0.66"
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","CARSON CITY","NV",89703,"CARSON CITY","No Penalty","0.10","0.26","0.80","0.35","0.49"
"290021","VALLEY HOSPITAL MEDICAL CENTER","620 SHADOW LANE","LAS VEGAS","NV",89106,"CLARK","1.02","0.87","0.63","0.60","0.77","1.19"
"290022","DESERT SPRINGS HOSPITAL","2075 EAST FLAMINGO ROAD","LAS VEGAS","NV",89119,"CLARK","1.08","1.34","1.72","1.16","1.51","1.71"
"290032","NORTHERN NEVADA MEDICAL CENTER","2375 E PRATER WAY","SPARKS","NV",89434,"WASHOE","2.11","1.42","1.20","2.04","2.30","3.00"
"290039","MOUNTAINVIEW HOSPITAL","3100 N TENAYA WAY","LAS VEGAS","NV",89128,"CLARK","0.88","0.89","0.95","0.85","1.22","1.48"
"290041","SUMMERLIN HOSPITAL MEDICAL CENTER","657 TOWN CENTER DRIVE","LAS VEGAS","NV",89144,"CLARK","0.05","0.37","0.75","0.79","0.78","1.64"
"290042","HARMON HOSPITAL","2170 EAST HARMON AVENUE","LAS VEGAS","NV",89119,"CLARK","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"290045","SAINT ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","HENDERSON","NV",89052,"CLARK","0.02","0.17","0.20","0.51","0.39","0.47"
"290046","SPRING VALLEY HOSPITAL MEDICAL CENTER","5400 SOUTH RAINBOW BLVD","LAS VEGAS","NV",89118,"CLARK","0.49","0.39","0.85","0.65","1.22","0.99"
"290047","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","9300 WEST SUNSET RD","LAS VEGAS","NV",89148,"CLARK","0.21","0.22","0.05","0.17","0.34","0.29"
"290049","RENOWN SOUTH MEADOWS MEDICAL CENTER","10101 DOUBLE R BLVD","RENO","NV",89521,"WASHOE","0.12","0.10","0.03","No Penalty","1.36","2.65"
"290053","SAINT ROSE DOMINICAN HOSPITALS - SAN MARTIN CAMPUS","8280 W WARM SPRINGS ROAD","LAS VEGAS","NV",89113,"CLARK","0.40","0.43","0.52","0.29","0.45","0.68"
"290054","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","6900 N DURANGO DR","LAS VEGAS","NV",89149,"CLARK","3.00","1.54","1.10","0.86","1.40","2.05"
"300001","CONCORD HOSPITAL","250 PLEASANT ST","CONCORD","NH",3301,"MERRIMACK","0.12","0.13","No Penalty","0.16","0.13","0.51"
"300003","MARY HITCHCOCK MEMORIAL HOSPITAL","1 MEDICAL CENTER DRIVE","LEBANON","NH",3756,"GRAFTON","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"300005","LAKES REGION GENERAL HOSPITAL","80 HIGHLAND ST","LACONIA","NH",3246,"BELKNAP","0.22","0.39","0.21","0.08","0.51","0.13"
"300011","ST JOSEPH HOSPITAL","172 KINSLEY ST","NASHUA","NH",3060,"HILLSBOROUGH","1.20","1.41","1.57","2.54","1.52","1.14"
"300012","ELLIOT HOSPITAL","1 ELLIOT WAY","MANCHESTER","NH",3103,"HILLSBOROUGH","0.57","0.32","0.53","0.70","1.10","1.18"
"300014","FRISBIE MEMORIAL HOSPITAL","11 WHITEHALL ROAD","ROCHESTER","NH",3867,"STRAFFORD","0.67","0.82","0.04","No Penalty","No Penalty","0.04"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","DERRY","NH",3038,"ROCKINGHAM","0.48","0.90","0.74","2.00","1.97","2.71"
"300018","WENTWORTH-DOUGLASS HOSPITAL","789 CENTRAL AVE","DOVER","NH",3820,"STRAFFORD","0.02","0.16","0.06","0.02","0.56","0.21"
"300019","CHESHIRE MEDICAL CENTER","580 COURT STREET","KEENE","NH",3431,"CHESHIRE","No Penalty","No Penalty","No Penalty","No Penalty","0.40","0.06"
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","NASHUA","NH",3060,"HILLSBOROUGH","0.04","0.13","0.11","0.27","0.32","0.94"
"300023","EXETER HOSPITAL INC","5 ALUMNI DRIVE","EXETER","NH",3833,"ROCKINGHAM","No Penalty","0.16","0.34","0.56","0.48","0.60"
"300029","PORTSMOUTH REGIONAL HOSPITAL","333 BORTHWICK AVE","PORTSMOUTH","NH",3801,"ROCKINGHAM","0.39","0.25","0.95","1.87","0.81","0.64"
"300034","CATHOLIC MEDICAL CENTER","100 MCGREGOR STREET","MANCHESTER","NH",3102,"HILLSBOROUGH","No Penalty","0.25","0.04","0.36","0.33","0.47"
"310001","HACKENSACK UNIVERSITY MEDICAL CENTER","30 PROSPECT AVE","HACKENSACK","NJ",7601,"BERGEN","0.71","0.43","0.72","0.59","0.71","0.71"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","NEWARK","NJ",7112,"ESSEX","1.08","0.92","0.91","1.30","1.07","0.88"
"310003","PALISADES MEDICAL CENTER","7600 RIVER RD","NORTH BERGEN","NJ",7047,"HUDSON","2.65","2.49","2.75","2.06","1.52","0.89"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","FLEMINGTON","NJ",8822,"HUNTERDON","0.31","0.04","No Penalty","No Penalty","0.72","1.90"
"310006","ST MARY'S GENERAL HOSPITAL","350 BOULEVARD","PASSAIC","NJ",7055,"PASSAIC","0.55","0.75","1.26","1.41","0.93","1.51"
"310008","HOLY NAME MEDICAL CENTER","718 TEANECK RD","TEANECK","NJ",7666,"BERGEN","1.05","0.04","0.67","1.11","1.37","1.72"
"310009","CLARA MAASS MEDICAL CENTER","ONE CLARA MAASS DRIVE","BELLEVILLE","NJ",7109,"ESSEX","0.48","0.08","0.27","0.40","0.60","0.34"
"310010","PENN MEDICINE PRINCETON MEDICAL CENTER","ONE PLAINSBORO ROAD","PLAINSBORO","NJ",8536,"MIDDLESEX","0.13","0.36","0.35","0.13","0.04","0.08"
"310011","CAPE REGIONAL MEDICAL CENTER INC","TWO STONE HARBOR BLVD","CAPE MAY COURT HOUSE","NJ",8210,"CAPE MAY","0.05","0.12","0.45","0.55","0.71","0.62"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","RIDGEWOOD","NJ",7450,"BERGEN","1.31","1.01","0.76","0.43","0.46","0.08"
"310014","COOPER UNIVERSITY HOSPITAL","1 COOPER PLAZA","CAMDEN","NJ",8103,"CAMDEN","0.86","1.08","1.31","1.66","0.81","0.59"
"310015","MORRISTOWN MEDICAL CENTER","100 MADISON AVE","MORRISTOWN","NJ",7962,"MORRIS","0.27","0.02","0.12","0.43","0.46","0.88"
"310016","CAREPOINT HEALTH-CHRIST HOSPITAL","176 PALISADE AVE","JERSEY CITY","NJ",7306,"HUDSON","1.93","1.54","2.32","1.63","1.40","0.76"
"310017","CHILTON MEDICAL CENTER","97 WEST PARKWAY","POMPTON PLAINS","NJ",7444,"MORRIS","0.61","0.88","1.67","1.22","0.65","0.06"
"310019","ST JOSEPH'S UNIVERSITY MEDICAL CENTER","703 MAIN ST","PATERSON","NJ",7503,"PASSAIC","2.24","2.15","3.00","2.97","2.48","2.28"
"310021","ST FRANCIS MEDICAL CENTER","601 HAMILTON AVE","TRENTON","NJ",8629,"MERCER","0.73","0.26","0.13","0.29","0.58","1.04"
"310022","VIRTUA WEST JERSEY HOSPITALS VOORHEES","100 BOWMAN DRIVE","VOORHEES","NJ",8043,"CAMDEN","1.12","1.67","2.16","1.57","0.60","0.64"
"310024","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","865 STONE ST","RAHWAY","NJ",7065,"UNION","0.88","0.59","1.12","1.48","1.62","1.34"
"310025","CAREPOINT HEALTH - BAYONNE MEDICAL CENTER","29 EAST 29TH ST","BAYONNE","NJ",7002,"HUDSON","0.55","0.94","1.33","2.01","1.47","1.75"
"310027","TRINITAS REGIONAL MEDICAL CENTER","225 WILLIAMSON STREET","ELIZABETH","NJ",7207,"UNION","0.77","0.96","0.72","0.57","0.37","0.56"
"310028","NEWTON MEDICAL CENTER","175 HIGH ST","NEWTON","NJ",7860,"SUSSEX","0.50","0.09","0.61","0.92","1.36","0.88"
"310029","OUR LADY OF LOURDES MEDICAL CENTER","1600 HADDON AVENUE","CAMDEN","NJ",8103,"CAMDEN","0.48","0.23","0.15","0.03","0.19","0.03"
"310031","DEBORAH HEART AND LUNG CENTER","200 TRENTON ROAD","BROWNS MILLS","NJ",8015,"BURLINGTON","0.69","1.07","0.96","0.99","0.75","0.50"
"310032","INSPIRA MEDICAL CENTER VINELAND","1505 W SHERMAN AVE","VINELAND","NJ",8360,"CUMBERLAND","0.10","0.30","0.87","0.99","1.20","1.35"
"310034","RIVERVIEW MEDICAL CENTER","ONE RIVERVIEW PLAZA","RED BANK","NJ",7701,"MONMOUTH","0.35","0.04","0.14","0.15","0.44","0.45"
"310038","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL","ONE ROBERT WOOD JOHNSON PLACE","NEW BRUNSWICK","NJ",8901,"MIDDLESEX","0.70","0.74","1.38","1.48","1.10","0.69"
"310039","RARITAN BAY MEDICAL CENTER PERTH AMBOY DIVISION","530 NEW BRUNSWICK AVE","PERTH AMBOY","NJ",8861,"MIDDLESEX","1.13","0.81","1.83","2.33","1.74","1.28"
"310040","CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER","308 WILLOW AVE","HOBOKEN","NJ",7030,"HUDSON","1.25","0.94","1.00","1.13","0.96","1.28"
"310041","COMMUNITY MEDICAL CENTER","99 RT 37 WEST","TOMS RIVER","NJ",8755,"OCEAN","0.64","0.43","0.30","0.48","1.20","0.93"
"310044","CAPITAL HEALTH MEDICAL CENTER - HOPEWELL","ONE CAPITAL WAY","PENNINGTON","NJ",8534,"MERCER","1.74","1.77","0.91","0.65","0.49","0.89"
"310045","ENGLEWOOD HOSPITAL AND MEDICAL CENTER","350 ENGLE ST","ENGLEWOOD","NJ",7631,"BERGEN","1.19","0.69","0.56","0.97","1.51","1.72"
"310047","SHORE MEDICAL CENTER","100 MEDICAL CENTER WAY","SOMERS POINT","NJ",8244,"ATLANTIC","0.42","0.21","0.25","1.12","1.69","1.67"
"310048","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","110 REHILL AVE","SOMERVILLE","NJ",8876,"SOMERSET","0.48","1.11","1.82","1.09","0.88","0.38"
"310050","SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS","25 POCONO ROAD","DENVILLE","NJ",7834,"MORRIS","1.07","1.42","1.81","1.89","2.07","1.77"
"310051","OVERLOOK MEDICAL CENTER","99 BEAUVOIR AVENUE","SUMMIT","NJ",7902,"UNION","0.75","0.41","0.27","No Penalty","0.01","0.45"
"310052","OCEAN MEDICAL CENTER","425 JACK MARTIN BLVD","BRICK","NJ",8724,"OCEAN","0.29","0.12","0.27","0.40","0.51","0.50"
"310054","HACKENSACK-UMC MOUNTAINSIDE","BAY AND HIGHLAND AVE","MONTCLAIR","NJ",7042,"ESSEX","0.78","0.91","0.68","1.30","1.98","2.18"
"310057","VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY","175 MADISON AVE","MOUNT HOLLY","NJ",8060,"BURLINGTON","0.54","0.91","0.51","0.43","0.29","0.14"
"310058","BERGEN NEW BRIDGE MEDICAL CENTER","230 EAST RIDGEWOOD AVE","PARAMUS","NJ",7652,"BERGEN","0.03","No Penalty","0.24","1.15","0.68","0.62"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","PHILLIPSBURG","NJ",8865,"WARREN","0.77","0.32","0.08","0.09","0.30","0.37"
"310061","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY","218A SUNSET ROAD","WILLINGBORO","NJ",8046,"BURLINGTON","0.39","0.54","0.96","0.67","0.49","0.64"
"310064","ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS","1925 PACIFIC AVENUE","ATLANTIC CITY","NJ",8401,"ATLANTIC","0.61","0.65","0.61","0.60","0.54","0.46"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET, POST OFFICE BOX  1090","ELMER","NJ",8318,"SALEM","0.09","0.04","0.05","0.32","0.92","1.07"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","NEW BRUNSWICK","NJ",8901,"MIDDLESEX","1.34","2.01","1.98","1.79","1.44","1.09"
"310073","JERSEY SHORE UNIVERSITY MEDICAL CENTER","1945 RTE 33","NEPTUNE","NJ",7754,"MONMOUTH","0.13","0.09","0.01","0.01","0.19","0.12"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","JERSEY CITY","NJ",7302,"HUDSON","1.54","0.98","0.98","1.52","1.32","1.24"
"310075","MONMOUTH MEDICAL CENTER","300 SECOND AVENUE","LONG BRANCH","NJ",7740,"MONMOUTH","0.46","0.80","1.06","0.28","0.11","0.17"
"310076","SAINT BARNABAS MEDICAL CENTER","94 OLD SHORT HILLS ROAD","LIVINGSTON","NJ",7039,"ESSEX","0.08","0.01","0.72","0.89","1.12","0.63"
"310081","INSPIRA MEDICAL CENTER WOODBURY","509 N BROAD ST","WOODBURY","NJ",8096,"GLOUCESTER","1.11","1.11","0.94","0.53","0.79","1.00"
"310083","EAST ORANGE GENERAL HOSPITAL","300 CENTRAL AVE","EAST ORANGE","NJ",7018,"ESSEX","1.20","0.75","1.44","1.59","1.43","1.34"
"310084","MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS","600 RIVER AVE","LAKEWOOD","NJ",8701,"OCEAN","1.03","0.52","0.75","0.17","0.20","0.67"
"310086","JEFFERSON STRATFORD HOSPITAL","18 EAST LAUREL ROAD","STRATFORD","NJ",8084,"CAMDEN","1.78","2.15","2.80","1.65","0.90","0.62"
"310091","SALEM MEDICAL CENTER","310 WOODSTOWN ROAD","SALEM","NJ",8079,"SALEM","1.24","0.99","1.16","0.98","0.53","0.56"
"310092","CAPITAL HEALTH SYSTEM-FULD CAMPUS","750 BRUNSWICK AVE","TRENTON","NJ",8638,"MERCER","0.67","0.54","0.77","0.58","0.57","0.23"
"310096","SAINT MICHAEL'S MEDICAL CENTER","111 CENTRAL AVENUE","NEWARK","NJ",7102,"ESSEX","1.71","1.46","1.05","0.80","0.97","0.93"
"310108","JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY","65 JAMES STREET","EDISON","NJ",8818,"MIDDLESEX","0.91","1.51","2.10","2.27","1.84","1.79"
"310110","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON","ONE HAMILTON HEALTH PLACE","HAMILTON","NJ",8690,"MERCER","0.88","0.57","0.30","1.70","1.55","1.74"
"310111","CENTRASTATE MEDICAL CENTER","901 WEST MAIN STREET","FREEHOLD","NJ",7728,"MONMOUTH","0.90","0.21","0.62","0.72","0.73","0.34"
"310112","BAYSHORE MEDICAL CENTER","727 N BEERS ST","HOLMDEL","NJ",7733,"MONMOUTH","0.90","0.90","0.28","0.76","0.29","1.27"
"310113","SOUTHERN OCEAN MEDICAL CENTER","1140 RT 72 W","MANAHAWKIN","NJ",8050,"OCEAN","0.07","0.12","0.03","No Penalty","No Penalty","No Penalty"
"310115","HACKETTSTOWN MEDICAL CENTER","651 WILLOW GROVE ST","HACKETTSTOWN","NJ",7840,"WARREN","0.66","0.36","1.55","1.31","0.46","0.30"
"310118","HUDSON REGIONAL HOSPITAL","55 MEADOWLANDS PKWY","SECAUCUS","NJ",7094,"HUDSON","1.28","0.73","1.48","1.57","1.46","1.43"
"310119","UNIVERSITY HOSPITAL","150 BERGEN ST","NEWARK","NJ",7101,"ESSEX","0.29","0.24","0.20","0.07","0.19","0.21"
"310130","HACKENSACK MERIDIAN HEALTH PASCACK VALLEY MEDICAL","250 OLD HOOK ROAD","WESTWOOD","NJ",7675,"BERGEN","No Penalty","0.06","0.36","0.04","1.38","1.62"
"320001","UNM HOSPITAL","2211 LOMAS BOULEVARD NE","ALBUQUERQUE","NM",87106,"BERNALILLO","No Penalty","No Penalty","0.05","0.05","0.05","0.06"
"320002","CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER","455 ST MICHAEL'S DRIVE","SANTA FE","NM",87505,"SANTA FE","No Penalty","0.08","0.25","0.24","No Penalty","No Penalty"
"320003","ALTA VISTA REGIONAL HOSPITAL","104 LEGION DRIVE","LAS VEGAS","NM",87701,"SAN MIGUEL","0.25","0.31","0.37","1.21","0.41","No Penalty"
"320004","GERALD CHAMPION REGIONAL MEDICAL CENTER","2669 NORTH SCENIC DRIVE","ALAMOGORDO","NM",88310,"OTERO","No Penalty","No Penalty","1.16","1.22","1.52","0.95"
"320005","SAN JUAN REGIONAL MEDICAL CENTER","801 WEST MAPLE STREET","FARMINGTON","NM",87401,"SAN JUAN","0.35","0.07","0.03","0.26","0.51","0.42"
